Drug_A_Name,Drug_B_Name,Drug_A_Class,Drug_B_Class,DrugBank_Severity,DrugBank_Text,Final_Severity,XAI_Rule_A_Mortality,XAI_Rule_B_Tolerability,XAI_Rule_C_CCB_RAAS_Combo,XAI_Rule_D_Diuretic,XAI_Rule_E_BetaBlocker,XAI_Combined_Clinical_Notes
Captopril,Enalapril,ACEI,ACEI,Moderate,"DESCRIPTION

The excretion of Captopril can be decreased when combined with Enalapril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Lisinopril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Lisinopril is combined with Captopril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Perindopril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Perindopril is combined with Captopril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Ramipril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Ramipril is combined with Captopril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Imidapril,ACEI,ACEI,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Captopril is combined with Imidapril.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Candesartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Candesartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Irbesartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Irbesartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Losartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Losartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Telmisartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Telmisartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
Captopril,Valsartan,ACEI,ARB,Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Valsartan.",Moderate,"Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).","Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006).",,,,"[RULE A - Mortality] Clinical Note: ACE Inhibitors are prioritized because meta-analyses indicate they significantly reduce the risk of all-cause mortality and cardiovascular death, whereas ARBs often show no significant effect on these specific outcomes compared to placebo (Source: Alcocer et al., 2023).

[RULE B - Tolerability] Clinical Note: ACE Inhibitors carry a 3.2-fold higher risk of dry cough compared to ARBs due to the accumulation of bradykinin. If tolerability becomes a barrier to adherence, ARBs are recommended as the standard alternative (Source: Hu et al., 2023; ACCP Guidelines, 2006)."
