Drug_A_Name,Drug_B_Name,Drug_A_Class,Drug_B_Class,DrugsCom_Severity,DrugsCom_Text,DrugBank_Severity,DrugBank_Text,Final_Severity,Risk_Score,CPG_Efficacy_Bonus,CPG_Outcome_Bonus,CPG_Tolerability_Penalty,CPG_Adjusted_Risk_Score
Captopril,Enalapril,ACEI,ACEI,None,No drug-drug interactions found,Moderate,"DESCRIPTION

The excretion of Captopril can be decreased when combined with Enalapril.",Moderate,0.5,0.05,0.0,-0.01,0.54
Captopril,Lisinopril,ACEI,ACEI,None,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Lisinopril is combined with Captopril.",Moderate,0.5,0.05,0.0,-0.01,0.54
Captopril,Perindopril,ACEI,ACEI,None,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Perindopril is combined with Captopril.",Moderate,0.5,0.05,0.0,-0.01,0.54
Captopril,Ramipril,ACEI,ACEI,None,No drug-drug interactions found,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Ramipril is combined with Captopril.",Moderate,0.5,0.05,0.0,-0.01,0.54
Captopril,Imidapril,ACEI,ACEI,,Error: Could not find or click the 'Check Interactions' button with selector: #interaction_list > div > a,Moderate,"DESCRIPTION

The risk or severity of angioedema can be increased when Captopril is combined with Imidapril.",Moderate,0.5,0.05,0.0,-0.01,0.54
Captopril,Candesartan,ACEI,ARB,Major,"Major
captopril  candesartan

Applies to: captopril, candesartan

Using captopril together with candesartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Candesartan.",Major,0.25,0.05,0.0,-0.01,0.29
Captopril,Irbesartan,ACEI,ARB,Major,"Major
captopril  irbesartan

Applies to: captopril, irbesartan

Using captopril together with irbesartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Irbesartan.",Major,0.25,0.05,0.0,-0.01,0.29
Captopril,Losartan,ACEI,ARB,Major,"Major
captopril  losartan

Applies to: captopril, losartan

Using captopril together with losartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Losartan.",Major,0.25,0.05,0.0,-0.01,0.29
Captopril,Telmisartan,ACEI,ARB,Major,"Major
captopril  telmisartan

Applies to: captopril, telmisartan

Using captopril together with telmisartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Telmisartan.",Major,0.25,0.05,0.0,-0.01,0.29
Captopril,Valsartan,ACEI,ARB,Major,"Major
captopril  valsartan

Applies to: captopril, valsartan

Using captopril together with valsartan may increase the risk of side effects such as low blood pressure, kidney function impairment, and a condition called hyperkalemia (high blood potassium). In severe cases, hyperkalemia can lead to kidney failure, muscle paralysis, irregular heart rhythm, and cardiac arrest. You may be more likely to develop hyperkalemia while taking these medications if you are elderly, dehydrated, or have kidney disease, diabetes, or advanced heart failure. Regular or long-term use of nonsteroidal anti-inflammatory drugs such as ibuprofen or naproxen may also increase your risk. It is important that you maintain adequate fluid intake during treatment with these medications. Talk to your doctor if you have any questions or concerns. Your doctor may already be aware of the risks, but has determined that this is the best course of treatment for you and has taken appropriate precautions and is monitoring you closely for any potential complications. In addition, ask your doctor if it is necessary for you to limit consumption of potassium-rich foods such as tomatoes, raisins, figs, potatoes, lima beans, bananas, plantains, papayas, pears, cantaloupes, mangoes, and potassium-containing salt substitutes. You should seek medical attention if you experience nausea, vomiting, weakness, confusion, tingling of the hands and feet, feelings of heaviness in the legs, a weak pulse, or a slow or irregular heartbeat, as these may be symptoms of hyperkalemia. It is important to tell your doctor about all other medications you use, including vitamins and herbs. Do not stop using any medications without first talking to your doctor.",Moderate,"DESCRIPTION

The risk or severity of renal failure, hypotension, and hyperkalemia can be increased when Captopril is combined with Valsartan.",Major,0.25,0.05,0.0,-0.01,0.29
